GEO_id,GEO_id2,GEO_displaylabel,NAICS_id,NAICS_display-label,YEAR_id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
0400000US36,36,New York,31-33,Manufacturing,2012,2,16475,3908,426621,22073336,285846,554574,11653376,73355413,148879931,75702273,9650920
0500000US36001,36001,"Albany County, New York",31-33,Manufacturing,2012,2,231,71,7327,423530,4773,9578,224967,1989592,3547362,1576582,D
0500000US36003,36003,"Allegany County, New York",31-33,Manufacturing,2012,2,46,13,2433,108791,1703,2998,62062,597850,841770,247623,D
0500000US36005,36005,"Bronx County, New York",31-33,Manufacturing,2012,5,323,72,6197,251477,4414,8133,154581,763247,1477909,715706,26411
0500000US36007,36007,"Broome County, New York",31-33,Manufacturing,2012,1,173,67,7718,403146,4796,9876,180853,1012265,2200835,1192062,70233
0500000US36009,36009,"Cattaraugus County, New York",31-33,Manufacturing,2012,8,74,27,4669,286051,3425,6786,143193,720943,1558645,794067,35132
0500000US36011,36011,"Cayuga County, New York",31-33,Manufacturing,2012,5,88,23,3143,155125,2144,4237,92685,655096,1065669,416296,60671
0500000US36013,36013,"Chautauqua County, New York",31-33,Manufacturing,2012,0,197,72,9474,428628,7018,13894,275178,3011786,5107494,2092575,86584
0500000US36015,36015,"Chemung County, New York",31-33,Manufacturing,2012,1,85,38,5495,278802,3885,7530,171858,532623,1246970,691681,49926
0500000US36017,36017,"Chenango County, New York",31-33,Manufacturing,2012,1,74,24,3443,165319,2123,4082,88326,876794,1661388,779061,130543
0500000US36019,36019,"Clinton County, New York",31-33,Manufacturing,2012,3,78,27,3161,138527,2444,4535,95074,422757,1279423,855509,18845
0500000US36021,36021,"Columbia County, New York",31-33,Manufacturing,2012,1,73,17,1290,53676,952,1934,30840,231128,462642,232627,8028
0500000US36023,36023,"Cortland County, New York",31-33,Manufacturing,2012,1,66,29,3163,146455,2119,3802,80862,299345,711373,412126,24064
0500000US36025,36025,"Delaware County, New York",31-33,Manufacturing,2012,3,36,19,3593,195675,2478,5443,119456,604311,1557247,957830,34742
0500000US36027,36027,"Dutchess County, New York",31-33,Manufacturing,2012,0,198,43,8544,668241,3448,7442,161229,1179974,2481946,1249060,D
0500000US36029,36029,"Erie County, New York",31-33,Manufacturing,2012,2,1008,338,42606,2250189,28354,54804,1275395,7237396,15835448,8566330,558784
0500000US36031,36031,"Essex County, New York",31-33,Manufacturing,2012,0,28,3,782,56563,619,1319,45133,D,213119,D,D
0500000US36033,36033,"Franklin County, New York",31-33,Manufacturing,2012,5,28,5,460,19858,369,650,13131,107240,250230,144009,5905
0500000US36035,36035,"Fulton County, New York",31-33,Manufacturing,2012,0,71,19,1724,66253,1258,2539,39738,373130,712203,338210,95883
0500000US36037,36037,"Genesee County, New York",31-33,Manufacturing,2012,1,95,26,2632,125802,1782,3320,68127,647827,982987,337541,24775
0500000US36039,36039,"Greene County, New York",31-33,Manufacturing,2012,0,29,5,735,D,529,1126,D,107553,339770,230267,D
0500000US36041,36041,"Hamilton County, New York",31-33,Manufacturing,2012,9,3,0,8,D,4,7,D,D,D,D,D
0500000US36043,36043,"Herkimer County, New York",31-33,Manufacturing,2012,7,60,19,2561,119415,2147,4314,85986,270863,666152,408823,29677
0500000US36045,36045,"Jefferson County, New York",31-33,Manufacturing,2012,0,66,20,2247,102552,1462,2772,50600,355667,770537,411687,22079
0500000US36047,36047,"Kings County, New York",31-33,Manufacturing,2012,4,1756,200,18296,730979,13400,24132,417003,1944894,3644086,1700095,88471
0500000US36049,36049,"Lewis County, New York",31-33,Manufacturing,2012,1,25,13,1371,58076,1072,2023,40311,390531,532658,146931,17873
0500000US36051,36051,"Livingston County, New York",31-33,Manufacturing,2012,1,55,24,2106,91103,1713,3547,61997,438096,635936,201637,12841
0500000US36053,36053,"Madison County, New York",31-33,Manufacturing,2012,2,58,17,2407,109173,1858,3694,68663,528199,885470,357683,12677
0500000US36055,36055,"Monroe County, New York",31-33,Manufacturing,2012,1,887,310,38958,2315477,23966,47068,1103115,7107307,14610337,7531723,396618
0500000US36057,36057,"Montgomery County, New York",31-33,Manufacturing,2012,2,74,27,3578,134270,2511,5003,84070,476865,839048,361114,19286
0500000US36059,36059,"Nassau County, New York",31-33,Manufacturing,2012,2,1043,183,16580,893692,10730,20432,456313,2055006,5196698,3155315,D
0500000US36061,36061,"New York County, New York",31-33,Manufacturing,2012,3,2063,260,21220,899083,13685,23968,449561,2353347,4970920,2586769,90315
0500000US36063,36063,"Niagara County, New York",31-33,Manufacturing,2012,0,273,88,7987,463054,5648,11959,297820,1651018,3134915,1487734,133015
0500000US36065,36065,"Oneida County, New York",31-33,Manufacturing,2012,1,236,79,9807,461991,6232,12002,233300,2197908,3481298,1311440,102999
0500000US36067,36067,"Onondaga County, New York",31-33,Manufacturing,2012,1,436,169,18565,1034645,11487,22235,465904,3549372,7575967,4123609,214848
0500000US36069,36069,"Ontario County, New York",31-33,Manufacturing,2012,4,167,68,6718,332358,4815,9876,189078,1283097,2670997,1412806,58060
0500000US36071,36071,"Orange County, New York",31-33,Manufacturing,2012,3,318,84,7105,336941,4897,9484,193772,1376651,2592425,1235819,77561
0500000US36073,36073,"Orleans County, New York",31-33,Manufacturing,2012,1,36,16,2026,96452,1582,3300,51159,517099,764560,246249,16510
0500000US36075,36075,"Oswego County, New York",31-33,Manufacturing,2012,0,85,21,2669,139583,1992,4108,89610,2017044,2131142,107574,166012
0500000US36077,36077,"Otsego County, New York",31-33,Manufacturing,2012,1,58,10,877,37708,618,1246,20655,66095,203757,138558,11960
0500000US36079,36079,"Putnam County, New York",31-33,Manufacturing,2012,2,87,16,1478,74260,1051,2121,44122,117960,308619,185847,D
0500000US36081,36081,"Queens County, New York",31-33,Manufacturing,2012,3,1294,246,22240,972468,15743,29049,572983,2142160,4438082,2305557,95842
0500000US36083,36083,"Rensselaer County, New York",31-33,Manufacturing,2012,2,95,29,3383,176189,2385,4354,99774,405558,D,394370,D
0500000US36085,36085,"Richmond County, New York",31-33,Manufacturing,2012,1,136,10,999,44813,723,1307,33675,127749,285325,157631,11073
0500000US36087,36087,"Rockland County, New York",31-33,Manufacturing,2012,7,251,56,8416,601255,5092,10036,271966,3346910,9613228,6286662,110913
0500000US36089,36089,"St. Lawrence County, New York",31-33,Manufacturing,2012,2,77,19,2639,149616,2049,4383,95226,1295774,1302898,5922,39477
0500000US36091,36091,"Saratoga County, New York",31-33,Manufacturing,2012,4,138,43,5259,331558,3933,7449,221414,1016966,1977414,953176,D
0500000US36093,36093,"Schenectady County, New York",31-33,Manufacturing,2012,6,110,39,4490,282988,3088,5746,179830,899460,1709342,832553,D
0500000US36095,36095,"Schoharie County, New York",31-33,Manufacturing,2012,5,21,4,239,9495,183,346,5910,18041,D,18631,D
0500000US36097,36097,"Schuyler County, New York",31-33,Manufacturing,2012,2,35,6,574,30366,413,837,21817,84050,D,123919,12740
0500000US36099,36099,"Seneca County, New York",31-33,Manufacturing,2012,0,40,11,1318,68812,826,1615,36492,334693,674190,347018,13947
0500000US36101,36101,"Steuben County, New York",31-33,Manufacturing,2012,4,77,25,4314,212940,3243,6853,143314,719460,1236991,517578,92041
0500000US36103,36103,"Suffolk County, New York",31-33,Manufacturing,2012,3,2067,530,51967,2800458,33661,65662,1282282,6738602,15887385,9169231,428752
0500000US36105,36105,"Sullivan County, New York",31-33,Manufacturing,2012,3,51,9,1224,40980,1077,1991,31180,239302,354034,115632,18512
0500000US36107,36107,"Tioga County, New York",31-33,Manufacturing,2012,1,44,7,1228,48574,917,1602,28982,262455,438230,178986,10751
0500000US36109,36109,"Tompkins County, New York",31-33,Manufacturing,2012,1,93,19,2766,150424,1935,3979,83408,386943,861091,464191,24426
0500000US36111,36111,"Ulster County, New York",31-33,Manufacturing,2012,3,170,44,3518,170233,2353,4595,90454,481724,D,494915,29157
0500000US36113,36113,"Warren County, New York",31-33,Manufacturing,2012,3,76,18,3767,206413,2320,4720,88564,505888,928859,423452,21976
0500000US36115,36115,"Washington County, New York",31-33,Manufacturing,2012,0,87,31,2942,152296,2188,4657,97660,466309,1206239,749621,29855
0500000US36117,36117,"Wayne County, New York",31-33,Manufacturing,2012,3,137,46,5702,241833,4197,8945,144163,894414,1656757,763256,39389
0500000US36119,36119,"Westchester County, New York",31-33,Manufacturing,2012,2,601,125,11776,584915,8166,15592,313833,2372863,4492932,2126592,81386
0500000US36121,36121,"Wyoming County, New York",31-33,Manufacturing,2012,0,44,17,1878,76324,1309,2551,42748,254309,473744,225464,14701
0500000US36123,36123,"Yates County, New York",31-33,Manufacturing,2012,0,44,12,836,33338,549,986,20372,94962,188491,88050,2249
E600000US3600028640,3600028640,"Geneva city, New York",31-33,Manufacturing,2012,6,16,3,765,36050,581,1172,23168,143181,396417,253984,D
E600000US3600051000,3600051000,"New York city, New York",31-33,Manufacturing,2012,4,5572,788,68953,2898820,47966,86589,1627803,7331397,14816322,7465758,312112
E600000US3600065233,3600065233,"Saranac Lake village, New York",31-33,Manufacturing,2012,9,3,0,b,D,D,D,D,1718,6118,D,D
E600000US3600101000,3600101000,"Albany city, New York",31-33,Manufacturing,2012,1,63,21,1500,67471,939,1854,35362,417203,684840,275722,D
E600000US3600106354,3600106354,"Bethlehem town, New York",31-33,Manufacturing,2012,5,17,3,903,59943,691,1458,41717,D,D,D,D
E600000US3600116694,3600116694,"Coeymans town (balance), New York",31-33,Manufacturing,2012,0,3,1,37,975,21,37,D,733,D,D,D
E600000US3600116749,3600116749,"Cohoes city, New York",31-33,Manufacturing,2012,1,14,4,442,42728,251,523,12370,64518,D,69316,D
E600000US3600117332,3600117332,"Colonie village, New York",31-33,Manufacturing,2012,8,10,1,89,2789,48,87,1318,4960,12842,7877,D
E600000US3600117343,3600117343,"Colonie town (balance), New York",31-33,Manufacturing,2012,1,60,18,2162,115932,1251,2603,50304,382256,791827,404491,D
E600000US3600130521,3600130521,"Green Island village, New York",31-33,Manufacturing,2012,0,13,9,670,33494,490,961,20902,95206,253581,159841,D
E600000US3600131104,3600131104,"Guilderland town, New York",31-33,Manufacturing,2012,1,19,5,271,10034,209,357,7072,36582,73279,34396,D
E600000US3600146536,3600146536,"Menands village, New York",31-33,Manufacturing,2012,6,3,1,36,D,D,D,D,D,D,D,D
E600000US3600150672,3600150672,"New Scotland town (balance), New York",31-33,Manufacturing,2012,0,4,3,326,D,270,520,D,D,D,D,D
E600000US3600161181,3600161181,"Rensselaerville town, New York",31-33,Manufacturing,2012,6,3,0,15,591,12,D,433,D,3949,D,D
E600000US3600178674,3600178674,"Watervliet city, New York",31-33,Manufacturing,2012,0,12,2,258,15273,179,320,9037,41696,99805,58550,D
E600000US3600179851,3600179851,"Westerlo town, New York",31-33,Manufacturing,2012,0,4,1,c,D,D,D,D,D,D,D,D
E600000US3600301198,3600301198,"Alfred village, New York",31-33,Manufacturing,2012,1,3,0,b,1083,D,D,D,D,D,D,D
E600000US3600319367,3600319367,"Cuba town, New York",31-33,Manufacturing,2012,0,5,2,242,9707,D,D,D,D,D,D,D
E600000US3600379092,3600379092,"Wellsville village, New York",31-33,Manufacturing,2012,5,10,5,1455,70684,945,1560,37351,231372,D,116098,D
E600000US3600379103,3600379103,"Wellsville town (balance), New York",31-33,Manufacturing,2012,9,3,2,132,6437,84,170,3120,D,D,15622,D
E600000US3600398003,3600398003,"Balance of Allegany County, New York",31-33,Manufacturing,2012,0,24,4,576,20880,471,863,15204,D,207719,D,10224
E600000US3600706607,3600706607,"Binghamton city, New York",31-33,Manufacturing,2012,0,49,14,1261,55494,875,1826,30135,176722,603410,426002,D
E600000US3600715110,3600715110,"Chenango town, New York",31-33,Manufacturing,2012,3,8,4,168,4970,133,231,2951,12293,D,12502,D
E600000US3600717046,3600717046,"Colesville town, New York",31-33,Manufacturing,2012,6,3,0,27,976,D,38,562,1321,5105,3770,D
E600000US3600717772,3600717772,"Conklin town, New York",31-33,Manufacturing,2012,0,13,9,715,49779,455,858,29423,142657,280447,134320,D
E600000US3600724515,3600724515,"Endicott village, New York",31-33,Manufacturing,2012,9,12,4,1286,55661,871,1753,D,D,D,132735,D
